node3dId;physicalPositionId;levelId;x_mm;y_mm;z_relative_m;absoluteZ_m;aliases;structuralRole;chainMembership;levelPresence;evidenceRefs;derivationRule;epistemicStatus
N3D-0076;N017;G1;28738.3;19447.4;0.0;ND;N017;LINE;N017;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0077;N017;G2;28738.3;19447.4;3.2;ND;N017;LINE;N017;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0078;N017;G3;28738.3;19447.4;6.4;ND;N017;LINE;N017;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0079;N017;G4;28738.3;19447.4;9.6;ND;N017;LINE;N017;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0080;N017;G5;28738.3;19447.4;12.8;ND;N017;LINE;N017;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0081;N028;G1;37862.9;19630.2;0.0;ND;N028;JOINT;N028;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0082;N028;G2;37862.9;19630.2;3.2;ND;N028;JOINT;N028;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0083;N028;G3;37862.9;19630.2;6.4;ND;N028;JOINT;N028;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0084;N028;G4;37862.9;19630.2;9.6;ND;N028;JOINT;N028;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0085;N028;G5;37862.9;19630.2;12.8;ND;N028;JOINT;N028;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0086;N031;G1;42882.7;18454.7;0.0;ND;N031;LINE;N031;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0087;N031;G2;42882.7;18454.7;3.2;ND;N031;LINE;N031;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0088;N031;G3;42882.7;18454.7;6.4;ND;N031;LINE;N031;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0089;N031;G4;42882.7;18454.7;9.6;ND;N031;LINE;N031;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0090;N031;G5;42882.7;18454.7;12.8;ND;N031;LINE;N031;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0091;N033;G1;36500.9;13382.3;0.0;ND;N033;LINE;N033;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0092;N033;G2;36500.9;13382.3;3.2;ND;N033;LINE;N033;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0093;N033;G3;36500.9;13382.3;6.4;ND;N033;LINE;N033;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0094;N033;G4;36500.9;13382.3;9.6;ND;N033;LINE;N033;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0095;N033;G5;36500.9;13382.3;12.8;ND;N033;LINE;N033;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0096;N035;G1;28727.8;20662.0;0.0;ND;N035;JOINT;N035;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0097;N035;G2;28727.8;20662.0;3.2;ND;N035;JOINT;N035;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0098;N035;G3;28727.8;20662.0;6.4;ND;N035;JOINT;N035;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0099;N035;G4;28727.8;20662.0;9.6;ND;N035;JOINT;N035;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0100;N035;G5;28727.8;20662.0;12.8;ND;N035;JOINT;N035;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0101;N039;G1;42882.7;19643.3;0.0;ND;N039;LINE;N039;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0102;N039;G2;42882.7;19643.3;3.2;ND;N039;LINE;N039;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0103;N039;G3;42882.7;19643.3;6.4;ND;N039;LINE;N039;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0104;N039;G4;42882.7;19643.3;9.6;ND;N039;LINE;N039;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0105;N039;G5;42882.7;19643.3;12.8;ND;N039;LINE;N039;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0106;N040;G1;33999.2;19604.1;0.0;ND;N040;LINE;N040;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0107;N040;G2;33999.2;19604.1;3.2;ND;N040;LINE;N040;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0108;N040;G3;33999.2;19604.1;6.4;ND;N040;LINE;N040;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0109;N040;G4;33999.2;19604.1;9.6;ND;N040;LINE;N040;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0110;N040;G5;33999.2;19604.1;12.8;ND;N040;LINE;N040;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0111;N042;G1;36772.0;9707.4;0.0;ND;N042|N042|N043;LINE;N042;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0112;N042;G2;36772.0;9707.4;3.2;ND;N042|N042|N043;LINE;N042;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0113;N042;G3;36772.0;9707.4;6.4;ND;N042|N042|N043;LINE;N042;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0114;N042;G4;36772.0;9707.4;9.6;ND;N042|N042|N043;LINE;N042;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0115;N042;G5;36772.0;9707.4;12.8;ND;N042|N042|N043;LINE;N042;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0116;N044;G1;37363.2;5554.1;0.0;ND;N044;LINE;N044;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0117;N044;G2;37363.2;5554.1;3.2;ND;N044;LINE;N044;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0118;N044;G3;37363.2;5554.1;6.4;ND;N044;LINE;N044;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0119;N044;G4;37363.2;5554.1;9.6;ND;N044;LINE;N044;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0120;N044;G5;37363.2;5554.1;12.8;ND;N044;LINE;N044;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
