handle;layer;type;text;x;y
F5D;S-PIL-A-TEXT;TEXT;A24/N042/ES;36730.9;9585.7
F5F;S-PIL-A-TEXT;TEXT;A25/N043/ES;37002.0;9667.4
F61;S-PIL-A-TEXT;TEXT;A26/N044/ES;37593.2;5514.1
F63;S-PIL-A-TEXT;TEXT;A27/N045/ES;37002.0;7750.7
F64;S-CHECK-VER;TEXT;v1.4 - 27 PILASTRI PRIORITA A suddivisi per zona per associazione TAV5->TAV7. Nessuna armatura promossa a DOC senza lettura inequivoca.;1800.0;3100.0
F68;S-LOT-TEXT;TEXT;L01-01;23656.6;25331.2
F6A;S-LOT-TEXT;TEXT;L01-02;23669.6;20307.2
F6C;S-LOT-TEXT;TEXT;L01-03;23703.6;19114.3
F6E;S-LOT-TEXT;TEXT;L01-04;19290.5;19088.2
F70;S-LOT-TEXT;TEXT;L01-05;8365.1;10223.7
F72;S-LOT-TEXT;TEXT;L01-06;21947.3;14164.3
F74;S-LOT-TEXT;TEXT;L02-07;31410.1;23359.0
F76;S-LOT-TEXT;TEXT;L02-08;28618.3;19127.4
F78;S-LOT-TEXT;TEXT;L02-09;37742.9;19310.2
F7A;S-LOT-TEXT;TEXT;L02-10;28607.8;20342.0
F7C;S-LOT-TEXT;TEXT;L02-11;42762.7;18134.7
F7E;S-LOT-TEXT;TEXT;L02-12;42762.7;19323.3
F80;S-LOT-TEXT;TEXT;L03-13;33879.2;19284.1
F82;S-LOT-TEXT;TEXT;L03-14;32964.7;11890.4
F84;S-LOT-TEXT;TEXT;L03-15;36380.9;11913.9
F86;S-LOT-TEXT;TEXT;L03-16;36390.7;7519.7
F88;S-LOT-TEXT;TEXT;L03-17;33039.8;5216.1
F8A;S-LOT-TEXT;TEXT;L03-18;31655.0;5216.1
F8C;S-LOT-TEXT;TEXT;L04-19;31589.7;11831.3
F8E;S-LOT-TEXT;TEXT;L04-20;42769.2;12296.6
F90;S-LOT-TEXT;TEXT;L04-21;37491.4;7420.6
